影片名,上映年份,国家,评分,评分人数
肖申克的救赎,1994,美国,9.7,2697297
霸王别姬,1993,中国大陆 中国香港,9.6,2000135
阿甘正传,1994,美国,9.5,2024951
泰坦尼克号,1997,美国 墨西哥 澳大利亚 加拿大,9.4,1984500
这个杀手不太冷,1994,法国 美国,9.4,2167746
美丽人生,1997,意大利,9.6,1243237
千与千寻,2001,日本,9.4,2101343
辛德勒的名单,1993,美国,9.6,1037310
盗梦空间,2010,美国 英国,9.4,1937109
星际穿越,2014,美国 英国 加拿大,9.4,1642544
忠犬八公的故事,2009,美国 英国,9.4,1321680
楚门的世界,1998,美国,9.3,1559973
海上钢琴师,1998,意大利,9.3,1577903
三傻大闹宝莱坞,2009,印度,9.2,1754281
机器人总动员,2008,美国,9.3,1240380
放牛班的春天,2004,法国 瑞士 德国,9.3,1223585
无间道,2002,中国香港,9.3,1256752
疯狂动物城,2016,美国,9.2,1782802
大话西游之大圣娶亲,1995,中国香港 中国大陆,9.2,1439698
熔炉,2011,韩国,9.3,876248
控方证人,1957,美国,9.6,489804
教父,1972,美国,9.3,897851
当幸福来敲门,2006,美国,9.2,1429513
触不可及,2011,法国,9.3,1015803
怦然心动,2010,美国,9.1,1718079
龙猫,1988,日本,9.2,1187433
末代皇帝,1987,英国 意大利 中国大陆 法国,9.3,807857
寻梦环游记,2017,美国,9.1,1540680
蝙蝠侠：黑暗骑士,2008,美国 英国,9.2,990834
活着,1994,中国大陆 中国香港,9.3,778251
哈利·波特与魔法石,2001,美国 英国,9.2,1087345
指环王3：王者无敌,2003,美国 新西兰,9.3,750564
乱世佳人,1939,美国,9.3,646151
素媛,2013,韩国,9.3,638461
飞屋环游记,2009,美国,9.1,1242499
我不是药神,2018,中国大陆,9.0,1968804
摔跤吧！爸爸,2016,印度,9.0,1475972
何以为家,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,9.1,973150
十二怒汉,1957,美国,9.4,449913
哈尔的移动城堡,2004,日本,9.1,946181
少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,9.1,1274939
鬼子来了,2000,中国大陆,9.3,582907
猫鼠游戏,2002,美国 加拿大,9.1,927776
大话西游之月光宝盒,1995,中国香港 中国大陆,9.0,1147044
让子弹飞,2010,中国大陆 中国香港,9.0,1579517
天空之城,1986,日本,9.1,770123
钢琴家,2002,英国 法国 波兰 德国,9.3,574656
指环王2：双塔奇兵,2002,美国 新西兰,9.2,701506
闻香识女人,1992,美国,9.1,818800
海蒂和爷爷,2015,德国 瑞士,9.3,526764
天堂电影院,1988,意大利 法国,9.2,643875
罗马假日,1953,美国,9.1,897656
指环王1：护戒使者,2001,新西兰 美国,9.1,791767
黑客帝国,1999,美国,9.1,786747
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,9.4,400507
死亡诗社,1989,美国,9.1,663665
教父2,1974,美国,9.3,509796
绿皮书,2018,美国 中国大陆,8.9,1519468
狮子王,1994,美国,9.1,780959
辩护人,2013,韩国,9.2,555915
搏击俱乐部,1999,美国 德国 意大利,9.0,795234
饮食男女,1994,中国台湾 美国,9.2,573337
美丽心灵,2001,美国,9.1,720443
本杰明·巴顿奇事,2008,美国,9.0,923516
穿条纹睡衣的男孩,2008,英国 美国,9.2,516430
窃听风暴,2006,德国,9.2,528328
情书,1995,日本,8.9,1019726
两杆大烟枪,1998,英国,9.1,561026
西西里的美丽传说,2000,意大利 美国,8.9,914758
看不见的客人,2016,西班牙,8.8,1169076
音乐之声,1965,美国,9.1,561586
拯救大兵瑞恩,1998,美国,9.1,606416
飞越疯人院,1975,美国,9.1,519082
小鞋子,1997,伊朗,9.2,382426
阿凡达,2009,美国,8.8,1296288
哈利·波特与死亡圣器(下),2011,美国 英国,9.0,766068
沉默的羔羊,1991,美国,8.9,823304
致命魔术,2006,英国 美国,8.9,803967
禁闭岛,2010,美国,8.9,904980
布达佩斯大饭店,2014,美国 德国 英国,8.9,859137
海豚湾,2009,美国,9.3,342317
蝴蝶效应,2004,美国 加拿大,8.9,876424
美国往事,1984,美国 意大利,9.2,386843
心灵捕手,1997,美国,8.9,662756
低俗小说,1994,美国,8.9,778558
春光乍泄,1997,中国香港 日本 韩国,9.0,589338
摩登时代,1936,美国,9.3,278350
喜剧之王,1999,中国香港,8.8,903515
功夫,2004,中国大陆 中国香港,8.8,1022037
七宗罪,1995,美国,8.8,892253
哈利·波特与阿兹卡班的囚徒,2004,英国 美国,8.9,656887
超脱,2011,美国,9.0,527437
致命ID,2003,美国,8.8,762419
杀人回忆,2003,韩国,8.9,655530
红辣椒,2006,日本,9.1,421506
加勒比海盗,2003,美国,8.8,806263
被嫌弃的松子的一生,2006,日本,8.9,667128
狩猎,2012,丹麦 瑞典,9.1,359860
请以你的名字呼唤我,2017,意大利 法国 巴西 美国,8.9,669067
7号房的礼物,2013,韩国,8.9,517943
剪刀手爱德华,1990,美国,8.7,986916
断背山,2005,美国 加拿大,8.8,669907
唐伯虎点秋香,1993,中国香港,8.7,1001406
勇敢的心,1995,美国,8.9,535293
