电影名,英文名,评分人数
让子弹飞,Let The Bullets Fly,44934
集结号,Assembly,109016
西游记之大圣归来,Monkey King: Hero is Back,25594
东邪西毒,Ashes of Time,93718
英雄,Hero,119839
疯狂的石头,Crazy Stone,103805
魔兽,Warcraft,18703
人再囧途之泰囧,Lost In Thailand,26435
西游降魔篇,Journey to the West: Conquering the Demons,26357
老炮儿,Mr. Six,14997
美人鱼,The Mermaid,18094
太阳照常升起,The Sun Also Rises,41338
寻龙诀,Mojin-The Lost Legend,15189
夏洛特烦恼,Goodbye Mr.Loser,17241
致我们终将逝去的青春,So Young,22529
小时代,Tiny Times 1.0,40004
战狼2,Wolf Warriors Ⅱ,16183
金陵十三钗,The Flowers of War,24667
大腕,Big Shot's Funeral,80629
霸王别姬,Farewell My Concubine,30801
